"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","8.02712701055341","16.3535647271587","16.861248640358","27.6843957793414","34.3284941684694","38.6908906925731","41.5405781609832","48.5380948426327","50.7728703546955","54.5943364132854","59.3292781446644","53.6853353574305","52.8374041517026","56.6193664876142","59.3902347680975","59.8890559814446","58.7437094316317","58.2563740696419","55.7129715732859","53.5894591112868","56.9810313683544","57.983171556484","59.6038643754312","62.1849821654997","65.357245699652","68.2105070720794","69.2956631344478","71.1476828421811","72.7028816406173","74.5468634783744","74.524170059362","77.3491885611662","76.7529129111693","76.2693535237677","78.34004386627","77.919133248613","78.5783268698585","78.2784483336465","78.7497253473584","79.242460014867","77.0738350544952","73.1911990658324",
"Afganistán","AFG","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","64","62","64","66","66","72","72","70","66",
"","AFW","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","1.44878552279101","3.45691960501929","4.72041126649007","5.47144020551713","10.6807609600373","16.3749327477791","24.0387481219062","29.4313436792679","34.7787926701075","42.9744979892435","51.2724545339098","41.4113542225247","43.5316641231059","38.0157945971185","44.8911735979389","41.7760260634745","37.7593568650384","35.001409105541","40.3588752491433","41.5164001337163","43.2575039101644","42.6322920537783","43.6308854917692","47.3595839091869","50.3730430023964","54.0232796915754","57.3522211977898","59.4099479450648","64.6177359413256","69.6551907497411","66.2153718809342","62.4039607509129","61.1264450517186","60.6736188875842","60.9702282807271","60.5572069093383","66.2374587907612","67.704575851688","67.0813015507658","67.7416323954003","66.4940247500051","67.3945924733913",
"Angola","AGO","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","48","49","50","51","52","53","54","55","59","59","56","63","57","51","45",
"Albania","ALB","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","98","99","98","99","99","99","98","98",
"Andorra","AND","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99","99","99","99","99",
"El mundo árabe","ARB","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","20.9451062910484","23.1686679325498","28.0189613926853","31.9952407935181","41.2159182151806","57.4417893850394","63.2849103588049","66.9924917896191","72.5836950696429","79.8132273921176","80.8909003682286","74.6320758241376","75.1633432897087","75.9359905457083","74.0369472176225","76.8526781523657","78.5100829858182","76.9325134346898","79.1694524246328","81.7038638400642","83.3113845875353","84.3966779878028","82.340049052226","82.6240626381203","83.4841079978292","84.2283134602648","83.5267863427955","84.9841313892983","85.8743593820363","86.7569409365508","87.6044205477775","87.3841604894438","83.8915720227526","85.5549347506506","85.2787481095939","84.2793550757672","85.1721681167391","86.2576098412562","85.9165889016999","86.4632517460194","83.6047711810909","83.4781039710144",
"Emiratos Árabes Unidos","ARE","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97","99","99","90","96",
"Argentina","ARG","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","86","86","83","74","76",
